Feature,Importance
is_high_amount,0.7119986195469881
amount_deviation,0.7082693414294812
amount,0.695090139942439
amount_deviation_ratio,0.6527724065942724
has_branch,0.5906971437346391
amount_log,0.546432339029108
amount_to_limit_ratio,0.5151676103236333
customer_avg_amount,0.439641833647027
customer_std_amount,0.41018839607897434
is_weekend,0.2505416005201433
is_night,0.16553604131464747
day_of_week,0.15526748573504942
card_limit,0.11062854859075295
is_credit_card,0.09672608287167041
hour,0.04028999443235477
merchant_category_fraud_rate,0.035395580127963004
credit_score,0.03043119079307558
customer_total_transactions,0.010982988493353617
age,0.0011518429626173805
